elevation,slope,aspect,lst,ndvi,precip,fire_label
1593.0,89.99757,316.54816,22.042692115480452,0.5753670942851271,0.0,0
1317.0,89.99918,11.888657,24.43444444903666,0.6169833828471678,0.0,0
1199.0,89.999,119.577835,25.8455544345653,0.7153653899986127,0.1788047362662007,0
3803.0,89.999176,151.94922,17.046769535983195,0.4332359410647217,2.1567192108955346,0
1211.0,89.99931,341.1753,23.41509654837125,0.6685635480427738,0.0,0
269.0,89.93634,0.0,31.2991345879903,0.4401437930817192,0.0,0
744.0,89.99808,244.98311,24.911698253701687,0.8301178308877335,1.7291636765003204,0
275.0,89.993095,282.5288,29.437540105061952,0.4607460900096047,0.0,0
974.0,89.999466,148.627,25.41671754408103,0.7577268227159646,0.0,0
1006.0,89.998726,346.66077,26.330782958438263,0.7157533578492599,0.0,0
2877.0,89.99919,115.58852,10.137443460062187,0.48490559230707253,89.84568932961739,1
2075.0,89.99949,104.37,12.662730090797254,0.39759233018978857,88.17302340990882,1
5395.0,89.99888,210.6186,-14.262436568167477,-0.03119976352994869,242.52515864279624,0
5017.0,89.99485,14.036247,-20.02036207133243,-0.055865714232488664,209.92036844156075,0
535.0,89.99104,219.28941,18.0727094318504,0.507681473821006,79.95059965945435,0
1842.0,89.99884,259.50854,13.650164896501478,0.6965014139366924,130.53796041067835,0
1236.0,89.99563,15.945396,10.318867287761815,0.5719607295402724,135.8335509742939,0
1458.0,89.99922,188.82637,11.322345679924052,0.6303866392902941,120.51686380258039,0
3916.0,89.99936,192.43544,1.559508537796433,0.0728603806694029,119.42300856004998,0
240.0,89.982346,56.309933,29.748906341227038,0.4911867636279148,0.0,1
248.0,89.97153,153.43495,30.283088116414262,0.448411111090633,0.0,1
223.0,89.99185,129.80557,31.31776506317831,0.39327404649559705,5.261827851937154,1
217.0,89.983284,203.1986,30.2667309828755,0.5859978619522865,0.0,1
220.0,89.98883,232.12502,30.50621614830771,0.41291650570794225,0.0,1
